1781459153,-842812
1781459155,-867812
1781459156,-806250
1781459158,-776875
1781459160,-818750
1781459161,-1216562
1781459163,-759687
1781459165,-995000
1781459166,-906562
1781459168,-866250
1781459170,-915000
1781459171,-890625
1781459173,-882500
1781459175,-883750
1781459176,-952500
1781459178,-947500
1781459180,-885000
1781459181,-946875
1781459183,-1027500
1781459185,-1042187
1781459186,-1011562
1781459188,-914687
1781459189,-1105000
1781459191,-1073125
1781459193,-1041250
1781459194,-1305312
1781459196,-907187
1781459197,-1039062
1781459199,-983125
1781459201,-976875
1781459202,-1031562
1781459204,-971875
1781459206,-1065937
1781459207,-1132500
1781459209,-910937
1781459210,-977500
1781459212,-1013125
1781459214,-1068125
1781459215,-1063125
1781459217,-977500
1781459218,-1189687
1781459220,-1035000
1781459222,-949375
1781459223,-1135312
1781459225,-1134687
1781459227,-1129375
1781459228,-1142187
1781459230,-902187
1781459231,-1103125
1781459233,-1191250
1781459235,-1260625
1781459236,-1035625
1781459238,-1003437
1781459240,-1064062
1781459241,-876562
1781459243,-972500
1781459245,-1075000
1781459246,-1034062
1781459248,-1102812
1781459249,-1164062
1781459251,-1015937
1781459253,-963125
1781459254,-980000
1781459256,-1256875
1781459258,-1116250
1781459259,-1033437
1781459261,-914375
1781459263,-721250
1781459265,-1860937
1781459266,-724375
1781459268,-605000
1781459270,-617812
1781459272,-634687
1781459274,-650937
1781459275,-556875
1781459277,-622812
1781459279,-738437
1781459281,-603125
1781459283,-690625
1781459285,-573750
1781459287,-604062
1781459288,-668750
1781459290,-669375
1781459292,-624062
1781459294,-549687
1781459296,-660000
1781459297,-619375
1781459299,-596250
1781459301,-685000
1781459303,-583750
1781459305,-621562
1781459306,-632812
1781459308,-586875
1781459310,-730937
1781459312,-685937
1781459314,-645000
1781459316,-644062
1781459317,-619062
1781459319,-610000
1781459321,-655625
1781459323,-743750
1781459325,-645937
1781459326,-609062
1781459328,-903750
1781459330,-613125
