1781458497,-1156562
1781458498,-1039375
1781458500,-1455312
1781458502,-907187
1781458503,-1026875
1781458505,-985937
1781458507,-900312
1781458508,-1089375
1781458510,-944687
1781458511,-931250
1781458513,-992187
1781458515,-764062
1781458516,-937500
1781458518,-986250
1781458520,-991250
1781458521,-1004375
1781458523,-888437
1781458525,-1019375
1781458526,-896562
1781458528,-1024062
1781458529,-946875
1781458531,-936250
1781458533,-1021250
1781458534,-966250
1781458536,-876250
1781458538,-883125
1781458539,-988750
1781458541,-844062
1781458543,-1036875
1781458544,-1017812
1781458546,-1075312
1781458547,-1096250
1781458549,-1010312
1781458551,-934062
1781458552,-897500
1781458554,-921250
1781458556,-963437
1781458557,-813750
1781458559,-1056250
1781458561,-1335000
1781458562,-1288125
1781458564,-1628750
1781458566,-1150312
1781458567,-1189375
1781458569,-1155000
1781458570,-966250
1781458572,-918437
1781458574,-1053437
1781458575,-938750
1781458577,-957500
1781458579,-874062
1781458580,-961250
1781458582,-965937
1781458583,-853750
1781458585,-902187
