1781459333,-967500
1781459334,-974375
1781459336,-950000
1781459338,-974375
1781459340,-720312
1781459342,-778125
1781459344,-816250
1781459345,-878437
1781459347,-1015312
1781459349,-717187
1781459351,-695000
1781459353,-851562
1781459355,-836250
1781459356,-921250
1781459358,-806250
1781459360,-666875
1781459362,-876562
1781459364,-780000
1781459366,-997812
1781459367,-753750
1781459369,-776562
1781459371,-820625
1781459373,-908125
1781459375,-959062
1781459377,-929687
1781459378,-1002187
1781459380,-743437
1781459382,-849375
1781459384,-899687
1781459386,-913750
1781459388,-926562
1781459390,-741562
1781459391,-777187
1781459393,-847812
1781459395,-994062
1781459397,-915000
1781459399,-717812
1781459401,-754375
1781459402,-870625
1781459404,-956250
1781459406,-986875
1781459408,-733437
1781459410,-734375
1781459412,-860937
1781459413,-914375
1781459415,-975000
1781459417,-744687
1781459419,-760937
1781459421,-846562
1781459423,-1013437
1781459424,-914375
1781459426,-780312
1781459428,-730312
1781459430,-938125
1781459432,-808437
1781459434,-952500
1781459435,-944687
1781459437,-765312
1781459439,-769062
1781459441,-880625
1781459443,-941562
1781459445,-962187
1781459446,-848437
1781459448,-718437
1781459450,-821875
1781459452,-928437
1781459454,-1090000
1781459456,-893750
1781459458,-909375
1781459459,-891562
1781459461,-817812
1781459463,-1257187
1781459465,-1211250
1781459467,-844375
1781459468,-761562
1781459470,-869375
1781459472,-966875
1781459474,-913437
1781459476,-969062
1781459478,-684375
1781459479,-726250
1781459481,-733125
1781459483,-706562
1781459485,-2233437
1781459487,-1094687
1781459489,-1225312
1781459491,-1538437
1781459492,-1163437
1781459494,-1120937
1781459496,-1158125
1781459497,-1192187
1781459499,-1457812
1781459501,-1258125
1781459502,-1305312
1781459504,-1225625
1781459506,-1281562
1781459507,-1228125
1781459509,-1577812
1781459511,-1236562
1781459512,-1227500
1781459514,-1220312
1781459516,-965937
1781459518,-1128125
