1781458972,-1774375
1781458974,-1463125
1781458976,-1379375
1781458977,-1298125
1781458979,-1443750
1781458981,-1289687
1781458982,-1273437
1781458984,-1322500
1781458986,-1349062
1781458987,-1203437
1781458989,-1274062
1781458991,-1261875
1781458992,-1421875
1781458994,-1235625
1781458996,-1250937
1781458997,-1185937
1781458999,-1309375
1781459001,-1220937
1781459002,-1233750
1781459004,-1126562
1781459006,-1157187
1781459008,-1386562
1781459009,-1013750
1781459011,-1195625
1781459013,-1146875
1781459014,-1180312
1781459016,-1102187
1781459018,-1325937
1781459019,-1258125
1781459021,-1352500
1781459023,-1119687
1781459024,-1280312
1781459026,-1160000
1781459028,-1283750
1781459029,-1039375
1781459031,-1215000
1781459033,-1178437
1781459034,-1281875
1781459036,-1166875
1781459038,-1293125
1781459039,-1174687
1781459041,-1219375
1781459043,-1184687
1781459044,-1211562
1781459046,-997500
1781459048,-990312
1781459049,-1316250
1781459051,-1214687
1781459053,-1137187
1781459054,-1334375
1781459056,-1286875
1781459058,-1128750
1781459059,-1084062
1781459061,-1221250
1781459063,-1195625
1781459065,-1160625
1781459066,-1191250
1781459068,-1204375
1781459070,-1128437
1781459071,-774375
1781459073,-1137187
1781459075,-1158750
1781459076,-1060625
1781459078,-1130312
1781459080,-1209687
1781459081,-1239062
1781459083,-1158437
1781459085,-1034062
1781459086,-978750
1781459088,-1000000
1781459090,-1035000
1781459092,-1169687
1781459093,-1196250
1781459095,-1941875
1781459097,-1274062
1781459098,-1152187
1781459100,-1033750
1781459102,-917500
1781459104,-1036875
1781459106,-948437
1781459107,-910312
1781459109,-1525000
1781459111,-1387187
1781459113,-1220625
1781459115,-1254687
1781459117,-1177812
1781459118,-1262812
1781459120,-1024687
1781459122,-946875
1781459123,-954062
1781459125,-983750
1781459127,-903750
1781459129,-963750
1781459130,-902812
1781459132,-853750
1781459134,-980312
1781459136,-1035000
1781459137,-1043750
1781459139,-953750
1781459141,-945625
1781459142,-1103125
1781459144,-981875
1781459146,-960000
1781459148,-1259062
1781459149,-931562
1781459151,-1013437
