group,rtt_ms,trial,seconds,read_bytes,written_bytes
hqc192,10,20,0.17,9695,4769
hqc256,10,1,0.27,15137,7492
hqc256,10,2,0.26,15138,7492
hqc256,10,3,0.27,15138,7492
hqc256,10,4,0.26,15139,7492
hqc256,10,5,0.26,15138,7492
hqc256,10,6,0.26,15139,7492
hqc256,10,7,0.26,15138,7492
hqc256,10,8,0.27,15138,7492
hqc256,10,9,0.26,15138,7492
hqc256,10,10,0.26,15139,7492
hqc256,10,11,0.26,15138,7492
hqc256,10,12,0.28,15138,7492
hqc256,10,13,0.26,15137,7492
hqc256,10,14,0.26,15138,7492
hqc256,10,15,0.27,15139,7492
hqc256,10,16,0.26,15139,7492
hqc256,10,17,0.27,15139,7492
hqc256,10,18,0.26,15137,7492
hqc256,10,19,0.27,15139,7492
hqc256,10,20,0.26,15137,7492
x25519,50,1,0.17,748,287
x25519,50,2,0.16,748,287
x25519,50,3,0.17,748,287
x25519,50,4,0.17,750,287
x25519,50,5,0.17,750,287
x25519,50,6,0.17,750,287
x25519,50,7,0.17,748,287
x25519,50,8,0.17,748,287
x25519,50,9,0.17,749,287
x25519,50,10,0.17,748,287
x25519,50,11,0.17,749,287
x25519,50,12,0.17,748,287
x25519,50,13,0.17,748,287
x25519,50,14,0.17,748,287
x25519,50,15,0.17,748,287
x25519,50,16,0.17,750,287
x25519,50,17,0.17,750,287
x25519,50,18,0.17,749,287
x25519,50,19,0.17,748,287
x25519,50,20,0.17,750,287
X25519MLKEM768,50,1,0.18,1837,1463
X25519MLKEM768,50,2,0.18,1837,1463
X25519MLKEM768,50,3,0.17,1837,1463
X25519MLKEM768,50,4,0.17,1837,1463
X25519MLKEM768,50,5,0.17,1838,1463
X25519MLKEM768,50,6,0.17,1838,1463
X25519MLKEM768,50,7,0.17,1837,1463
X25519MLKEM768,50,8,0.17,1837,1463
X25519MLKEM768,50,9,0.17,1837,1463
X25519MLKEM768,50,10,0.17,1838,1463
X25519MLKEM768,50,11,0.18,1838,1463
X25519MLKEM768,50,12,0.17,1836,1463
